Model,Feature_Set,Train_RMSE,Train_RSQ,Test_RMSE,Test_RSQ
OLS,Tokens Only,1.0371217691006132,0.2112261984709024,1.0468716243572298,0.22209525438507766
Elastic Net,Tokens Only,1.0367376462876983,0.21151977929015395,1.0471750289069193,0.22168235063666386
OLS,Topics Only,1.1675231514809623,0.0018255568682669352,1.1857988544985076,0.003481974380394534
Elastic Net,Topics Only,1.1667171282619053,0.00188000797810645,1.18695006145957,NA
