Model,Feature_Set,Train_RMSE,Train_RSQ,Test_RMSE,Test_RSQ
Elastic Net,Combined,0.9240591261637994,0.3790794361375872,0.9244104355128255,0.37313600956780857
Elastic Net,Embeddings Only,0.924041298763598,0.3791339932062746,0.9244778032385357,0.37305809315613514
OLS,Embeddings Only,0.9515602960809058,0.35214056944180516,0.9410005288836544,0.35995333412330777
OLS,Combined,0.9519895288465995,0.35169543376168055,0.9412786787065806,0.3597154248857773
Elastic Net,Topics Only,1.1717246822751552,0.0016015553879498107,1.166865044667773,NA
OLS,Topics Only,1.1722273907300214,0.0015952637700373004,1.1669288308617074,1.4580448831166495e-4
