Model,Feature_Set,Train_RMSE,Train_RSQ,Test_RMSE,Test_RSQ
Elastic Net,Embeddings Only,0.9195255065347716,0.3797785641088539,0.9419767071997941,0.37210913413813973
OLS,Embeddings Only,0.9466701402095908,0.3529996420145409,0.960323011751964,0.3535770203066995
OLS,Tokens Only,1.0371217691006132,0.2112261984709024,1.0468716243572298,0.22209525438507766
Elastic Net,Tokens Only,1.0367376462876983,0.21151977929015395,1.0471750289069193,0.22168235063666386
